code,name,lat,lng,region
USLAX,Port of Los Angeles,33.7361,-118.2626,North America
USOAK,Port of Oakland,37.7955,-122.2780,North America
USSAV,Port of Savannah,32.0809,-81.0912,North America
NLRTM,Port of Rotterdam,51.9475,4.1341,Europe
SGSIN,Port of Singapore,1.2644,103.8403,Asia-Pacific
